"img_file_name"	"img_rank"	"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"complement_info"	"object_label"	"object_width"	"object_height"	"object_bx"	"object_by"	"object_circ."	"object_area_exc"	"object_area"	"object_%area"	"object_major"	"object_minor"	"object_y"	"object_x"	"object_convex_area"	"object_perim."	"object_elongation"	"object_perimareaexc"	"object_perimmajor"	"object_circex"	"object_angle"	"object_bounding_box_area"	"object_eccentricity"	"object_equivalent_diameter"	"object_euler_number"	"object_extent"	"object_local_centroid_col"	"object_local_centroid_row"	"object_solidity"	"object_meanhue"	"object_meansaturation"	"object_meanvalue"	"object_stdhue"	"object_stdsaturation"	"object_stdvalue"	"object_date_end"	"object_time_end"	"object_lat_end"	"object_lon_end"	"sample_id"	"sample_dataportal_descriptor"	"sample_project"	"sample_ship"	"sample_operator"	"sample_sampling_gear"	"sample_concentrated_sample_volume"	"sample_dilution_factor"	"sample_gear_net_opening"	"sample_total_volume"	"sample_uuid"	"process_id"	"process_pixel"	"process_source"	"process_commit"	"process_datetime"	"process_uuid"	"process_1st_operation"	"process_2nd_operation"	"process_3rd_operation"	"process_4th_operation"	"process_5th_operation"	"process_6th_operation"	"process_7th_operation"	"acq_id"	"acq_instrument"	"acq_instrument_id"	"acq_celltype"	"acq_minimum_mesh"	"acq_maximum_mesh"	"acq_volume"	"acq_imaged_volume"	"acq_magnification"	"acq_fnumber_objective"	"acq_camera"	"acq_nb_frame"	"acq_software"	"acq_local_datetime"	"acq_camera_resolution"	"acq_camera_iso"	"acq_camera_shutter_speed"	"acq_uuid"	"objid"	"processid_internal"	"acq_id_internal"	"sample_id_internal"	"classif_id"	"classif_who"	"classif_auto_id"	"classif_auto_name"	"classif_auto_score"	"classif_auto_when"	"object_random_value"	"object_sunpos"	"sample_lat"	"sample_long"
"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[f]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"
"Chaetoceros single/10_55_34_588238_4.jpg"	347	"10_55_34_588238_4"	59.6631	10.6259	"2023-06-26"	"10:00:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2023-08-11"	"13:35:00"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	346.0	109.0	117.0	2737.0	1985.0	0.08307246866361652	2395.0	2395.0	0.0	109.56027672081557	71.98545643011312	2020.8288100208767	2810.4388308977036	10525.0	601.9066376115481	1.5219779404633194	0.2513180115288301	5.493840063450577	0.08307246866361652	126.70276697127082	12753.0	0.7538559356237476	55.2214515350757	1.0	0.18779894926683918	73.43883089770355	35.82881002087683	0.22755344418052256	54.79498956158664	6.44384133611691	222.42463465553237	50.832437245885444	14.11176971659915	41.00690479337487	"20230626 UTC"	"1000"	"59.6631"	"10.6259"	"POICE coast_1"	""	"POICE coast"	"Biologen"	"Yana Markova"	"net"	""	"1"	"270"	""	"dbfe185a-3046-11e9-96bd-0000796bb2a3"	"POICE_coast_POICE_coast_1_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T11:30:09.824916"	"e2d9e030-304b-11e9-a529-0000796bb2a3"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE coast_1_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"2.00"	"0.5031"	"1.6"	"16"	"HQ Camera"	"200"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T10:54:10"	"4056x3040"	"100"	"1"	"dbfde390-3046-11e9-aa1d-0000796bb2a3"	708874451	2000800	2000800	596605	85197	2112	85196	"Chaetoceros"	0.39809011735397215	"2023-08-11 12:45:41.745381"	1754671547	" "	59.6631	10.6259
"Chaetoceros single/10_56_46_678953_5.jpg"	652	"10_56_46_678953_5"	59.6631	10.6259	"2023-06-26"	"10:00:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-09"	"14:43:14"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	651.0	169.0	128.0	3093.0	1424.0	0.06582476147069474	2245.0	2245.0	0.0	108.04238350604489	80.29769275631156	1453.6458797327393	3191.2253897550113	12499.0	654.6639969244288	1.3455228886081851	0.2916097981846008	6.05932575421016	0.06582476147069474	19.632760112701803	21632.0	0.6690632235677574	53.46421960461445	1.0	0.1037814349112426	98.22538975501114	29.64587973273942	0.17961436914953197	89.3902004454343	9.775055679287306	227.97861915367483	67.53902504455274	19.062286874845405	36.993570582777934	"20230626 UTC"	"1000"	"59.6631"	"10.6259"	"POICE coast_1"	""	"POICE coast"	"Biologen"	"Yana Markova"	"net"	""	"1"	"270"	""	"dbfe185a-3046-11e9-96bd-0000796bb2a3"	"POICE_coast_POICE_coast_1_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T11:30:09.824916"	"e2d9e030-304b-11e9-a529-0000796bb2a3"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE coast_1_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"2.00"	"0.5031"	"1.6"	"16"	"HQ Camera"	"200"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T10:54:10"	"4056x3040"	"100"	"1"	"dbfde390-3046-11e9-aa1d-0000796bb2a3"	708874452	2000800	2000800	596605	85197	1465	85197	"Chaetoceros"	0.30001900580708374	"2023-08-09 14:32:22.567701"	223193716	" "	59.6631	10.6259
"Chaetoceros single/10_58_25_217691_3.jpg"	1070	"10_58_25_217691_3"	59.6631	10.6259	"2023-06-26"	"10:00:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-09"	"14:43:14"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	1069.0	90.0	101.0	2478.0	442.0	0.13324316655621546	1646.0	1646.0	0.0	82.29822239889046	67.28108149331882	503.01701093560143	2538.2849331713246	5010.0	394.00104602052653	1.2232000522622823	0.23936880074151065	4.787479419796538	0.13324316655621546	128.117225744692	9090.0	0.5758891907034014	45.779387180630515	1.0	0.18107810781078107	60.284933171324425	61.017010935601455	0.3285429141716567	57.911300121506684	7.497569866342649	229.24362089914945	66.89690772792696	8.669351130013771	38.1585496807998	"20230626 UTC"	"1000"	"59.6631"	"10.6259"	"POICE coast_1"	""	"POICE coast"	"Biologen"	"Yana Markova"	"net"	""	"1"	"270"	""	"dbfe185a-3046-11e9-96bd-0000796bb2a3"	"POICE_coast_POICE_coast_1_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T11:30:09.824916"	"e2d9e030-304b-11e9-a529-0000796bb2a3"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE coast_1_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"2.00"	"0.5031"	"1.6"	"16"	"HQ Camera"	"200"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T10:54:10"	"4056x3040"	"100"	"1"	"dbfde390-3046-11e9-aa1d-0000796bb2a3"	708874453	2000800	2000800	596605	85197	1465	85197	"Chaetoceros"	0.33759923329366487	"2023-08-09 14:32:22.567701"	1232367766	" "	59.6631	10.6259
"Chaetoceros single/14_48_47_271670_2.jpg"	3419	"14_48_47_271670_2"	59.6635	10.6256	"2023-07-11"	"10:04:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-05-11"	"11:02:27"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	3418.0	72.0	121.0	3167.0	2083.0	0.06830590205078545	1781.0	2479.0	0.28156514723678905	126.35102879669371	74.3847560730474	2151.7265581134193	3210.5423919146547	6894.0	675.3269478283311	1.698614547752423	0.3791841369052954	5.34484724232022	0.04907334068271436	71.81568377722436	8712.0	0.8083406176503586	47.61973991081141	0.0	0.20443067033976126	43.54239191465469	68.72655811341943	0.25834058601682625	74.25574828559903	6.201290843081888	239.55748285599032	53.48824429128923	9.811465082394703	17.435359308388062	"20230711"	"1004"	"59.6635"	"10.6256"	"POICE_2_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"0"	"1"	"28"	"29"	"df89fe68-307b-11e9-86c6-00009975a89a"	"POICE_POICE_2_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:47:30.111298"	"cf8af10a-3045-11e9-94d3-00003942aeaf"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_2_Coast_2"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T14:13:37"	"4056x3040"	"100"	"1"	"b8f82a22-3062-11e9-87f9-00009975a89a"	708874454	2000716	2000716	596522	85197	2112	85197	"Chaetoceros"	0.26044986220386457	"2024-05-10 12:39:18.358736"	393834766	" "	59.6635	10.6256
"Chaetoceros single/20_52_47_900171_16.jpg"	1372	"20_52_47_900171_16"	59.6635	10.6256	"2023-10-05"	"01:06:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-05-24"	"14:41:46"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	1371.0	114.0	190.0	2299.0	2288.0	0.09138226298487202	4787.0	4787.0	0.0	221.88186323173454	77.69157327588358	2403.112387716733	2345.184457906831	15088.0	811.3452377915606	2.8559321671068463	0.16948929137070412	3.6566541580921714	0.09138226298487202	112.70806901802561	21660.0	0.9366942496380346	78.07046625099163	1.0	0.22100646352723916	46.184457906831	115.11238771673281	0.31727200424178154	69.03363275537914	9.192396072696887	228.78023814497598	63.5458537971448	15.283886986760761	31.84750853654125	"20231005"	"0106"	"59.6635"	"10.6256"	"POICE_20231005_0300_3_Coast"	""	"POICE_20231005_0300"	"Biologen"	"Jan Heuschele"	"net"	"275"	"0.5"	"280"	"320"	"34c405a4-309a-11e9-81cb-0000796bb2a3"	"POICE_20231005_0300_POICE_20231005_0300_3_Coast_"	"0.76"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2023-10-31T11:42:02.323094"	""	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_20231005_0300_3_Coast_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"10.00"	"2.1366"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T20:50:47"	"4056x3040"	"100"	"125"	"34c3f4d8-309a-11e9-93a9-0000796bb2a3"	708874455	2000737	2000737	596543	85197	2112	85196	"Chaetoceros"	0.8387753571929379	"2024-05-22 10:23:41.038487"	-965973866	"N"	59.6635	10.6256
"Chaetoceros single/15_40_39_308521_6.jpg"	1895	"15_40_39_308521_6"	59.6635	10.6256	"2023-09-27"	"13:10:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-05-11"	"11:02:27"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	1894.0	144.0	156.0	1397.0	1936.0	0.08846006826627381	3331.0	3331.0	0.0	146.23025213544287	86.28357017663612	2054.8558991293908	1466.583008105674	12941.0	687.8893936688451	1.6947635782349573	0.20651137606389824	4.704152414588612	0.08846006826627381	12.897428775178952	22464.0	0.8073646570816797	65.12419614484948	1.0	0.14828169515669515	69.58300810567397	118.85589912939058	0.25739896453133454	78.74121885319724	11.90303212248574	226.35244671269888	70.55177507527239	15.87047618134455	38.886205319401974	"20230927"	"1310"	"59.6635"	"10.6256"	"POICE_20230927_1500_2_Pelagic"	""	"POICE_20230927_1500"	"Biologen"	"Jan Heuschele"	"net"	"250"	"1"	"280"	"320"	"96c008de-306d-11e9-8d7c-00009975a89a"	"POICE_20230927_1500_POICE_20230927_1500_2_Pelagic_"	"0.76"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2023-11-07T08:47:33.299779"	""	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_20230927_1500_2_Pelagic_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.1366"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T15:31:25"	"4056x3040"	"100"	"1"	"96bff3f8-306d-11e9-99fa-00009975a89a"	708874459	2000742	2000742	596548	85197	2112	85197	"Chaetoceros"	0.4646047362856178	"2024-05-10 12:38:38.585176"	-524151542	"D"	59.6635	10.6256
"Chaetoceros single/15_54_35_138144_2.jpg"	768	"15_54_35_138144_2"	59.6635	10.6256	"2023-09-27"	"13:13:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-06-19"	"08:50:57"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	767.0	142.0	108.0	2312.0	1169.0	0.12233339793173212	2053.0	2053.0	0.0	196.08407819788647	29.78715242343546	1221.7769118363371	2394.6492937165126	5352.0	459.22644276494276	6.582840662661482	0.22368555419627023	2.341987411652542	0.12233339793173212	147.11001343909533	15336.0	0.9883943144056876	51.1269086229677	1.0	0.13386802295253	82.64929371651242	52.77691183633707	0.3835949177877429	71.77301509985388	6.90014612761812	237.50754992693618	68.67465042380076	11.30829390041743	20.41993540147365	"20230927"	"1313"	"59.6635"	"10.6256"	"POICE_20230927_1500_2_Coast"	""	"POICE_20230927_1500"	"Biologen"	"Jan Heuschele"	"net"	"220"	"1"	"280"	"320"	"78f84294-3070-11e9-ad1b-0000796bb2a3"	"POICE_20230927_1500_POICE_20230927_1500_2_Coast_"	"0.76"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2023-12-05T08:50:52.147174"	""	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_20230927_1500_2_Coast_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"10.00"	"2.1366"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T15:52:03"	"4056x3040"	"100"	"1"	"78f7f382-3070-11e9-a9e1-0000796bb2a3"	708874462	2000743	2000743	596549	85197	2112	85197	"Chaetoceros"	0.3246596377000894	"2024-06-18 17:06:42.164661"	-1690564767	"D"	59.6635	10.6256
"Chaetoceros single/12_50_30_928438_11.jpg"	351	"12_50_30_928438_11"	59.6635	10.6256	"2023-09-27"	"10:23:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-05-11"	"11:01:09"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	350.0	226.0	124.0	2601.0	2413.0	0.06520196673241652	2871.0	2871.0	0.0	173.51854456555105	100.22952428785376	2479.145245559039	2730.9756182514802	13221.0	743.859956417322	1.7312118938848318	0.2590943770175277	4.2869190626268185	0.06520196673241652	0.913445385771567	28024.0	0.8162986793419915	60.460489023284055	1.0	0.10244790179845846	129.9756182514803	66.14524555903866	0.21715452688904016	100.56565656565657	7.37443399512365	235.67955416231277	70.43987625202813	9.582298266854936	20.877703553975465	"20230927"	"1023"	"59.6635"	"10.6256"	"POICE_20230927_1200_1_Coast"	""	"POICE_20230927_1200"	"Biologen"	"Jan Heuschele"	"net"	"200"	"1"	"280"	"320"	"ee9fe31c-3056-11e9-83bd-00009975a89a"	"POICE_20230927_1200_POICE_20230927_1200_1_Coast_"	"0.76"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2023-11-06T09:08:48.379960"	""	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_20230927_1200_1_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.1366"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:49:14"	"4056x3040"	"100"	"1"	"ee9fcecc-3056-11e9-b279-00009975a89a"	708874464	2000721	2000721	596527	85197	2112	85197	"Chaetoceros"	0.3170164364317843	"2024-05-10 12:38:33.021640"	295354977	"D"	59.6635	10.6256
"Chaetoceros single/12_52_56_156819_3.jpg"	1021	"12_52_56_156819_3"	59.6635	10.6256	"2023-09-27"	"10:23:00"	""	0.0	0.5	"validated"	"Yana Markova"	"yanapm@uio.no"	"2024-05-11"	"11:01:09"	"Chaetoceros single"	"living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Chaetoceros>Chaetoceros single"	""	1020.0	140.0	121.0	850.0	1185.0	0.07213468081656524	3663.0	3663.0	0.0	135.058087131426	115.85884741506135	1224.8315588315588	914.025389025389	12025.0	798.8244225113893	1.165712331381857	0.21807928542489471	5.914673008318617	0.07213468081656524	19.13783993941138	16940.0	0.5139092180408367	68.29257977529404	1.0	0.21623376623376622	64.02538902538903	39.83155883155883	0.3046153846153846	55.67403767403768	9.254163254163254	234.87332787332787	66.7224353164037	17.829587151670406	34.44044036205553	"20230927"	"1023"	"59.6635"	"10.6256"	"POICE_20230927_1200_1_Coast"	""	"POICE_20230927_1200"	"Biologen"	"Jan Heuschele"	"net"	"200"	"1"	"280"	"320"	"ee9fe31c-3056-11e9-83bd-00009975a89a"	"POICE_20230927_1200_POICE_20230927_1200_1_Coast_"	"0.76"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2023-11-06T09:08:48.379960"	""	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_20230927_1200_1_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.1366"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:49:14"	"4056x3040"	"100"	"1"	"ee9fcecc-3056-11e9-b279-00009975a89a"	708874465	2000721	2000721	596527	85197	2112	85197	"Chaetoceros"	0.399099345723096	"2024-05-10 12:38:33.021640"	386307096	"D"	59.6635	10.6256
