"img_file_name"	"img_rank"	"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"complement_info"	"object_label"	"object_width"	"object_height"	"object_bx"	"object_by"	"object_circ."	"object_area_exc"	"object_area"	"object_%area"	"object_major"	"object_minor"	"object_y"	"object_x"	"object_convex_area"	"object_perim."	"object_elongation"	"object_perimareaexc"	"object_perimmajor"	"object_circex"	"object_angle"	"object_bounding_box_area"	"object_eccentricity"	"object_equivalent_diameter"	"object_euler_number"	"object_extent"	"object_local_centroid_col"	"object_local_centroid_row"	"object_solidity"	"object_meanhue"	"object_meansaturation"	"object_meanvalue"	"object_stdhue"	"object_stdsaturation"	"object_stdvalue"	"object_date_end"	"object_time_end"	"object_lat_end"	"object_lon_end"	"sample_id"	"sample_dataportal_descriptor"	"sample_project"	"sample_ship"	"sample_operator"	"sample_sampling_gear"	"sample_concentrated_sample_volume"	"sample_dilution_factor"	"sample_gear_net_opening"	"sample_total_volume"	"sample_uuid"	"process_id"	"process_pixel"	"process_source"	"process_commit"	"process_datetime"	"process_uuid"	"process_1st_operation"	"process_2nd_operation"	"process_3rd_operation"	"process_4th_operation"	"process_5th_operation"	"process_6th_operation"	"process_7th_operation"	"acq_id"	"acq_instrument"	"acq_instrument_id"	"acq_celltype"	"acq_minimum_mesh"	"acq_maximum_mesh"	"acq_volume"	"acq_imaged_volume"	"acq_magnification"	"acq_fnumber_objective"	"acq_camera"	"acq_nb_frame"	"acq_software"	"acq_local_datetime"	"acq_camera_resolution"	"acq_camera_iso"	"acq_camera_shutter_speed"	"acq_uuid"	"objid"	"processid_internal"	"acq_id_internal"	"sample_id_internal"	"classif_id"	"classif_who"	"classif_auto_id"	"classif_auto_name"	"classif_auto_score"	"classif_auto_when"	"object_random_value"	"object_sunpos"	"sample_lat"	"sample_long"
"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[f]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"
"Tripos muelleri/12_31_31_083206_0.jpg"	98	"12_31_31_083206_0"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	97.0	288.0	207.0	1981.0	637.0	0.10761903919664004	15108.0	15108.0	0.0	253.26636987273554	159.4232066799771	720.1828832406673	2067.3944929838494	36926.0	1328.201189595526	1.5886417990646573	0.08791376685170281	5.244285651754464	0.10761903919664004	147.61391360262	59616.0	0.7770259866743956	138.6942790523778	1.0	0.2534219001610306	86.39449298384962	83.1828832406672	0.40914260954341114	65.99986761980408	41.12331215250199	205.21975112523165	47.99325778903333	31.908190117927287	31.036059491584506	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875351	2000714	2000714	596520	92614	1465	92614	"temporary"	0.6393294252302478	"2023-08-08 09:57:26.127419"	1543621344	" "	59.6635	10.6256
"Tripos muelleri/12_34_33_481512_1.jpg"	485	"12_34_33_481512_1"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	484.0	274.0	78.0	2290.0	2377.0	0.27145456507183297	8581.0	8581.0	0.0	264.26689931524584	54.435893342676735	2421.605407295187	2397.857941964806	12024.0	630.2680733252854	4.854644299702628	0.07344925688442902	2.3849679053956514	0.27145456507183297	171.68165536016144	21372.0	0.9785544512275628	104.52592278173118	1.0	0.40150664420737414	107.85794196480596	44.60540729518704	0.7136560212907518	61.275608903391216	55.718564269898614	155.24752359864817	48.56796398470702	49.839655882971506	60.1488193051286	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875352	2000714	2000714	596520	92614	1465	92614	"temporary"	0.30017681500987276	"2023-08-08 09:57:26.127419"	356465397	" "	59.6635	10.6256
"Tripos muelleri/12_47_31_691057_0.jpg"	1992	"12_47_31_691057_0"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	1991.0	249.0	227.0	1033.0	333.0	0.12833271722999165	14645.0	14645.0	0.0	254.55608840879	169.71643276950823	406.1154660293616	1186.1673608740184	37879.0	1197.5148980945107	1.4998906367216807	0.08176953896172828	4.704326286517372	0.12833271722999165	39.49369133991311	56523.0	0.7453125120368179	136.55252884017366	1.0	0.2590980662739062	153.16736087401844	73.11546602936156	0.3866258348953246	74.54940252645955	30.29894161829976	220.40116080573574	46.00047761064869	29.719580772565337	22.854724267039046	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875353	2000714	2000714	596520	92614	1465	92614	"temporary"	0.5457823705791663	"2023-08-08 09:57:26.127419"	-480450873	" "	59.6635	10.6256
"Tripos muelleri/12_55_58_617970_0.jpg"	2983	"12_55_58_617970_0"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	2982.0	282.0	121.0	3143.0	256.0	0.15440987701530848	11560.0	11560.0	0.0	270.63625397588106	93.09136572513968	303.65942906574395	3237.589446366782	20529.0	969.9432175380074	2.907211123907646	0.0839051226243951	3.583936753811439	0.15440987701530848	9.525139527737167	34122.0	0.9389798079601468	121.32043989838844	1.0	0.33878436199519374	94.58944636678201	47.65942906574394	0.563105850260607	82.7416955017301	39.36574394463668	217.23961937716263	45.27230252231476	39.77285814733198	28.606110144012746	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875354	2000714	2000714	596520	92614	1465	92614	"temporary"	0.36638079702963355	"2023-08-08 09:57:26.127419"	1035567220	" "	59.6635	10.6256
"Tripos muelleri/13_01_15_873779_4.jpg"	3540	"13_01_15_873779_4"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"09:52:55"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	3539.0	249.0	208.0	262.0	2776.0	0.1681102783587718	14176.0	14176.0	0.0	261.4655575694638	147.3313100097957	2911.427130361174	359.5164362302483	33685.0	1029.4011537017761	1.774677477259108	0.07261576987173929	3.937043040279958	0.1681102783587718	37.42722889652358	51792.0	0.8261278851904644	134.3482183959492	1.0	0.27371022551745444	97.5164362302483	135.42713036117382	0.4208401365592994	76.48349322799098	44.333380361173816	199.6748730248307	51.71026062312565	40.80937147240455	49.11978357430752	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875355	2000714	2000714	596520	92614	1465	""	"temporary"	""	""	733758066	" "	59.6635	10.6256
"Tripos muelleri/13_01_28_117223_2.jpg"	3562	"13_01_28_117223_2"	59.6635	10.6256	"2023-07-11"	"16:03:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"09:52:55"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	3561.0	266.0	226.0	3298.0	958.0	0.13373197328630854	14558.0	14558.0	0.0	220.11291051729674	188.92459462179204	1085.538260750103	3384.010990520676	40828.0	1169.6021638285529	1.1650834077899734	0.08034085477596874	5.313646351228654	0.13373197328630854	154.0369664515316	60116.0	0.5131354407902738	136.1463230948765	1.0	0.24216514738172865	86.01099052067592	127.53826075010303	0.3565690212599197	72.0783074598159	31.34901772221459	196.2365709575491	49.46843606113268	34.660094272435735	49.40777671750048	"20230711"	"1603"	"59.6635"	"10.6256"	"POICE_4_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"140"	"1"	"280"	"320"	"5c341070-3054-11e9-a3c6-00009975a89a"	"POICE_POICE_4_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:36:41.404234"	"6a79f748-3044-11e9-98d9-00009975a89a"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_4_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T12:30:49"	"4056x3040"	"100"	"1"	"5c33e940-3054-11e9-896f-00009975a89a"	708875356	2000714	2000714	596520	92614	1465	""	"temporary"	""	""	379713799	" "	59.6635	10.6256
"Tripos muelleri/02_12_26_089689_0.jpg"	256	"02_12_26_089689_0"	59.6635	10.6256	"2023-07-06"	"01:00:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	255.0	254.0	156.0	760.0	2085.0	0.18168967160148541	13461.0	13461.0	0.0	208.17907225580393	144.32973586075175	2150.3947700765175	832.9523066636951	28998.0	964.891485709898	1.4423851815030932	0.07168052044498165	4.634911066008929	0.18168967160148541	168.24009845977207	39624.0	0.7206528553645393	130.9162996409539	1.0	0.3397183525136281	72.95230666369513	65.39477007651735	0.46420442789157873	58.40806775128148	69.60797860485847	194.6261793328876	45.63375344545641	50.331661541836475	40.247002152459636	"20230706"	"0100"	"59.6635"	"10.6256"	"POICE_5_Pelagic"	""	"POICE"	"Biologen"	"Jan Heuschele"	"net"	"50"	"1"	"280"	"320"	"cf27a1e6-30c3-11e9-939f-0000796bb2a3"	"POICE_POICE_5_Pelagic_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:14:20.854310"	"4b731b52-3041-11e9-bc8d-00003942aeaf"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_5_Pelagic_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-15T01:48:36"	"4056x3040"	"100"	"1"	"cf2783ec-30c3-11e9-bcea-0000796bb2a3"	708875357	2000760	2000760	596566	92614	1465	92614	"temporary"	0.5535115842232873	"2023-08-08 09:57:26.127419"	-315677806	" "	59.6635	10.6256
"Tripos muelleri/10_59_30_548342_12.jpg"	1363	"10_59_30_548342_12"	59.6631	10.6259	"2023-06-26"	"10:00:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	1362.0	357.0	176.0	3255.0	2864.0	0.14497353777892558	16124.0	16124.0	0.0	320.15054517710274	147.81010556733926	2960.7489456710496	3345.078082361697	40081.0	1182.216341497176	2.165958436659452	0.07332028910302506	3.692688828136122	0.14497353777892558	172.4202931222207	62832.0	0.8870416673918851	143.28194031108652	1.0	0.2566208301502419	90.07808236169684	96.74894567104937	0.40228537212145404	58.87924832547755	58.73046390473828	196.50669808980402	46.441782000547335	52.27920256513639	46.358758343012425	"20230626 UTC"	"1000"	"59.6631"	"10.6259"	"POICE coast_1"	""	"POICE coast"	"Biologen"	"Yana Markova"	"net"	""	"1"	"270"	""	"dbfe185a-3046-11e9-96bd-0000796bb2a3"	"POICE_coast_POICE_coast_1_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T11:30:09.824916"	"e2d9e030-304b-11e9-a529-0000796bb2a3"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE coast_1_1"	"PlanktoScope v2.3"	"Babanu Mosaurou"	"300"	"45"	"200"	"2.00"	"0.5031"	"1.6"	"16"	"HQ Camera"	"200"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T10:54:10"	"4056x3040"	"100"	"1"	"dbfde390-3046-11e9-aa1d-0000796bb2a3"	708875358	2000800	2000800	596605	92614	1465	92614	"temporary"	0.5220607358036069	"2023-08-08 09:57:26.127419"	25538141	" "	59.6631	10.6259
"Tripos muelleri/10_27_09_198980_0.jpg"	43	"10_27_09_198980_0"	59.6635	10.6256	"2023-07-05"	"19:07:00"	""	0.0	0.5	"validated"	"Jan Heuschele"	"janheu@uio.no"	"2023-08-08"	"13:38:57"	"Tripos muelleri"	"living>temporary>Tripos muelleri"	""	42.0	287.0	147.0	2849.0	1363.0	0.14075186600276085	13070.0	13070.0	0.0	261.6751628367348	119.09953659007118	1441.220428462127	2934.8859984697783	28311.0	1080.2285348059959	2.197113190602872	0.08264946708538606	4.128127878456602	0.14075186600276085	17.196792159000097	42189.0	0.8904185167512229	129.00093352254694	1.0	0.30979639242456564	85.88599846977812	78.220428462127	0.4616580127865494	47.884009181331294	57.97666411629686	175.38293802601376	51.42472690203277	48.36105748262971	56.12892062308118	"20230705"	"1907"	"59.6635"	"10.6256"	"POICE_3_Coast"	""	"POICE"	"Biologen"	"Yana Markova"	"net"	"60"	"1"	"28"	"320"	"9d59d682-3042-11e9-a2b1-00009975a89a"	"POICE_POICE_3_Coast_1"	"1.01"	"https://www.github.com/PlanktonPlanet/PlanktoScope"	"v2.3-pscopehat-0-gfd1b7ce"	"2019-02-14T10:15:21.237673"	"6f6f942e-3041-11e9-92e5-0000796bb2a3"	"{'type': 'remove_background', 'parameters': {'type': 'flat'}}"	"{'type': 'simple_threshold', 'parameters': {'algorithm': 'THRESH_TRIANGLE'}}"	"{'type': 'remove_previous_mask', 'parameters': {}}"	"{'type': 'erode', 'parameters': {'kernel_size': 2, 'kernel_shape': 'rectangle'}}"	"{'type': 'dilate', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'close', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"{'type': 'erode', 'parameters': {'kernel_size': 8, 'kernel_shape': 'ellipse'}}"	"POICE_3_Coast_1"	"PlanktoScope v2.3"	"Babaqao Naroaqui"	"300"	"45"	"200"	"10.00"	"2.5156"	"1.6"	"16"	"HQ Camera"	"1000"	"PlanktoScope v2.3-b8742ad"	"2019-02-14T10:23:47"	"4056x3040"	"100"	"1"	"9d59ae00-3042-11e9-a7c3-00009975a89a"	708875359	2000756	2000756	596562	92614	1465	92614	"temporary"	0.6646433179834742	"2023-08-08 09:57:26.127419"	1981644674	" "	59.6635	10.6256
